id,question,answer,explanation,difficulty
1,"예금자보호법에 따라 은행 예금은 1인당 5,000만원까지 보호된다.",O,"예금자보호법에 따라 은행 예금은 1인당 원금과 이자를 합하여 5,000만원까지 보호됩니다.",1
2,"주식투자의 수익은 항상 보장된다.",X,"주식투자는 위험이 있어 수익이 보장되지 않습니다. 주가 변동에 따라 손실이 발생할 수 있습니다.",1
3,"복리는 이자에 이자가 붙는 방식이다.",O,"복리는 원금뿐만 아니라 이자에도 이자가 붙어 시간이 지날수록 이자가 기하급수적으로 늘어나는 방식입니다.",2
4,"인플레이션은 화폐의 구매력을 높인다.",X,"인플레이션은 화폐의 가치를 떨어뜨려 구매력을 낮춥니다.",2
5,"주택청약통장은 누구나 가입할 수 있다.",O,"주택청약통장은 나이와 무관하게 누구나 가입할 수 있습니다. 단, 청약 자격은 별도의 조건이 있습니다.",1
6,"ETF는 개별 주식처럼 실시간으로 매매할 수 있다.",O,"ETF(상장지수펀드)는 주식시장에 상장되어 있어 개별 주식처럼 실시간 매매가 가능합니다.",2
7,"원/달러 환율이 상승하면 수출기업에 유리하다.",O,"원/달러 환율 상승 시 동일한 달러화 수출액에 대해 더 많은 원화를 받을 수 있어 수출기업에 유리합니다.",3
8,"모든 국가의 중앙은행은 기준금리를 결정할 수 있다.",X,"유로존과 같은 통화동맹의 경우, 개별 국가의 중앙은행이 아닌 유럽중앙은행(ECB)이 기준금리를 결정합니다.",3
9,"주식의 시가총액은 발행주식 수와 주가를 곱한 값이다.",O,"시가총액은 해당 기업의 발행주식 총수와 현재 주가를 곱한 값으로, 기업의 전체 가치를 나타냅니다.",2
10,"청약통장 가입 시 의무 납입기간이 있다.",X,"청약통장에는 의무 납입기간이 없습니다. 다만, 청약 자격을 얻기 위한 최소 가입기간은 있을 수 있습니다.",2
11,"신용카드 결제일은 변경할 수 없다.",X,"신용카드 결제일은 카드사와 협의하여 변경할 수 있습니다.",1
12,"부동산 투자는 항상 안전한 투자방법이다.",X,"부동산 시장도 변동성이 있으며 항상 안전하다고 할 수 없습니다.",2
13,"물가상승률이 높으면 화폐의 실질가치는 떨어진다.",O,"물가상승률이 높아지면 같은 금액으로 구매할 수 있는 상품의 양이 줄어들어 실질가치가 떨어집니다.",1
14,"연금저축은 세액공제를 받을 수 있는 금융상품이다.",O,"연금저축에 납입한 금액에 대해 세액공제를 받을 수 있어 세금 부담을 줄일 수 있습니다.",2
15,"모든 대출상품은 금리가 고정되어 있다.",X,"대출상품에는 고정금리와 변동금리가 있으며 상황에 따라 다릅니다.",2
16,"CPI는 소비자 물가 지수를 의미한다.",O,"CPI(소비자 물가 지수)는 소비자가 구입하는 상품과 서비스의 가격 변동을 측정하는 지표입니다.",1
17,"신용카드 포인트는 현금처럼 사용할 수 있다.",X,"신용카드 포인트는 현금과 동일한 가치는 아니며 특정 조건에서만 사용 가능합니다.",2
18,"주식 배당금에는 세금이 부과되지 않는다.",X,"주식 배당금은 소득세가 부과되며 세율은 개인의 소득 수준에 따라 달라집니다.",2
19,"모든 금융상품은 원금 보장이 된다.",X,"대부분의 금융상품은 원금 보장이 되지 않으며 특히 주식이나 펀드는 손실 위험이 있습니다.",3
20,"주택담보대출의 LTV는 대출금액을 담보가치로 나눈 비율이다.",O,"LTV(Loan To Value)는 대출 금액을 담보 가치로 나눈 비율로 대출 한도를 결정하는 데 사용됩니다.",2
21,"모든 보험상품은 중도해지가 가능하다.",X,"보험상품마다 중도해지 조건이 다르며 일부 상품은 중도해지가 불가능할 수도 있습니다.",3
22,"주식시장에서 '블루칩'은 우량기업의 주식을 의미한다.",O,"블루칩 주식은 안정적이고 신뢰성이 높은 대기업의 주식을 의미합니다.",1
23,"신용등급이 높을수록 대출이 유리하다.",O,"신용등급이 높으면 대출 금리가 낮아지고 대출 한도가 늘어나는 등 유리한 조건을 제공합니다.",2
24,"펀드 투자 시 원금이 보장된다.",X,"펀드는 투자 성과에 따라 원금을 잃을 위험이 있으며 원금 보장은 없습니다.",3
25,"주식시장에서 '상한가'는 하루 동안 오를 수 있는 최대 가격을 의미한다.",O,"상한가는 하루 동안 주식 가격이 상승할 수 있는 최대 한도를 의미합니다.",2
26,"모든 금융상품의 수익률은 세전 기준으로 표시된다.",X,"일부 금융상품은 세후 기준으로 표시되기도 하며 투자자는 세금을 고려해야 합니다.",3
