id,savings_product_id,savings_period_id,monthly_payment_id,post_tax_interest
1,1,1,1,
2,2,1,1,2958.0
3,3,1,1,
4,4,1,1,
5,5,1,1,
6,6,1,1,
7,7,1,1,
8,8,1,1,
9,9,1,1,
10,10,1,1,
11,11,1,1,4288.0
12,12,1,1,
13,13,1,1,
14,14,1,1,
15,15,1,1,
16,16,1,1,
17,17,1,1,
18,18,1,1,
19,19,1,1,
20,20,1,1,3990.0
21,21,1,1,
22,22,1,1,
23,23,1,1,
24,24,1,1,3710.0
25,25,1,1,4445.0
26,26,1,1,
27,27,1,1,
28,28,1,1,
29,29,1,1,3745.0
30,30,1,1,
31,31,1,1,4445.0
32,32,1,1,
33,33,1,1,8890.0
34,34,1,1,8890.0
35,35,1,1,8890.0
36,36,1,1,7403.0
37,37,1,1,7105.0
38,38,1,1,
39,39,1,1,6668.0
40,40,1,1,6668.0
41,41,1,1,6213.0
42,42,1,1,6213.0
43,43,1,1,5915.0
44,44,1,1,6073.0
45,45,1,1,
46,46,1,1,5915.0
47,47,1,1,
48,48,1,1,5915.0
49,49,1,1,5915.0
50,50,1,1,5915.0
51,51,1,1,5915.0
52,52,1,1,5915.0
53,53,1,1,5915.0
54,54,1,1,5915.0
55,55,1,1,5915.0
56,56,1,1,5915.0
57,57,1,1,5915.0
58,58,1,1,5915.0
59,59,1,1,5915.0
60,60,1,1,5915.0
61,61,1,1,5915.0
62,62,1,1,
63,63,1,1,5915.0
64,64,1,1,
65,65,1,1,5915.0
66,66,1,1,5915.0
67,67,1,1,5915.0
68,68,1,1,5915.0
69,69,2,1,
70,70,2,1,
71,71,2,1,
72,72,2,1,
73,5,2,1,
74,7,2,1,
75,6,2,1,
76,73,2,1,18135.0
77,8,2,1,
78,74,2,1,15405.0
79,75,2,1,
80,76,2,1,
81,16,2,1,
82,13,2,1,
83,77,2,1,
84,11,2,1,16510.0
85,78,2,1,
86,79,2,1,15405.0
87,80,2,1,17290.0
88,12,2,1,
89,81,2,1,
90,15,2,1,
91,82,2,1,19240.0
92,83,2,1,
93,84,2,1,
94,85,2,1,20345.0
95,86,2,1,18200.0
96,87,2,1,
97,88,2,1,18135.0
98,18,2,1,
99,23,2,1,
100,20,2,1,15405.0
101,17,2,1,
102,89,2,1,
103,21,2,1,
104,90,2,1,18980.0
105,91,2,1,
106,30,2,1,
107,92,2,1,
108,93,2,1,13780.0
109,19,2,1,
110,94,2,1,
111,25,2,1,18135.0
112,22,2,1,
113,27,2,1,
114,24,2,1,14300.0
115,26,2,1,
116,95,2,1,
117,28,2,1,
118,29,2,1,13455.0
119,96,2,1,
120,97,2,1,5525.0
121,98,2,1,5525.0
122,31,2,1,21970.0
123,99,2,1,20345.0
124,100,2,1,20345.0
125,101,2,1,21970.0
126,102,2,1,5525.0
127,103,2,1,21668.0
128,104,2,1,21970.0
129,105,2,1,21970.0
130,106,2,1,10985.0
131,107,2,1,22555.0
132,108,2,1,21970.0
133,109,2,1,21450.0
134,110,2,1,22555.0
135,111,2,1,22815.0
136,112,2,1,21970.0
137,113,2,1,5525.0
138,114,2,1,21970.0
139,115,2,1,21970.0
140,116,2,1,21970.0
141,117,2,1,22555.0
142,118,2,1,24765.0
143,119,2,1,22555.0
144,120,2,1,24765.0
145,121,2,1,24180.0
146,122,2,1,21970.0
147,123,2,1,24765.0
148,124,2,1,24765.0
149,125,2,1,27495.0
150,126,2,1,21970.0
151,127,2,1,21970.0
152,128,2,1,21970.0
153,129,2,1,
154,130,2,1,21970.0
155,131,2,1,21450.0
156,132,2,1,21970.0
157,133,2,1,25056.0
158,70,3,1,
159,72,3,1,
160,7,3,1,
161,73,3,1,70750.0
162,76,3,1,
163,77,3,1,
164,13,3,1,
165,11,3,1,65500.0
166,80,3,1,68750.0
167,12,3,1,
168,78,3,1,
169,81,3,1,
170,79,3,1,59250.0
171,15,3,1,
172,83,3,1,
173,87,3,1,
174,18,3,1,
175,86,3,1,67250.0
176,93,3,1,57000.0
177,17,3,1,
178,94,3,1,
179,23,3,1,
180,90,3,1,75000.0
181,92,3,1,
182,82,3,1,63500.0
183,30,3,1,
184,25,3,1,70750.0
185,24,3,1,57000.0
186,27,3,1,
187,19,3,1,
188,28,3,1,
189,89,3,1,
190,26,3,1,
191,22,3,1,
192,95,3,1,
193,29,3,1,48750.0
194,98,3,1,21250.0
195,102,3,1,21250.0
196,125,3,1,116250.0
197,113,3,1,21250.0
198,104,3,1,69750.0
199,134,3,1,93000.0
200,118,3,1,93000.0
201,119,3,1,84500.0
202,135,3,1,105750.0
203,128,3,1,82500.0
204,122,3,1,80250.0
205,136,3,1,88750.0
206,124,3,1,91000.0
207,137,3,1,101500.0
208,131,3,1,78250.0
209,121,3,1,86750.0
210,138,3,1,86750.0
211,139,3,1,86750.0
212,140,3,1,86750.0
213,110,3,1,67750.0
214,130,3,1,78250.0
215,141,3,1,86750.0
216,142,3,1,86750.0
217,143,3,1,86750.0
218,144,3,1,84500.0
219,145,3,1,84500.0
220,146,3,1,97250.0
221,147,3,1,84500.0
222,148,3,1,84500.0
223,149,3,1,86750.0
224,150,3,1,84500.0
225,151,3,1,86750.0
226,152,3,1,84500.0
227,153,3,1,97250.0
228,154,3,1,84500.0
229,155,3,1,84500.0
230,156,3,1,84500.0
231,157,3,1,84500.0
232,158,3,1,86750.0
233,159,3,1,83500.0
234,114,3,1,65500.0
235,160,3,1,88750.0
236,161,3,1,
237,162,3,1,82500.0
238,163,3,1,82500.0
239,7,4,1,
240,73,4,1,159840.0
241,76,4,1,
242,77,4,1,
243,11,4,1,150405.0
244,13,4,1,
245,80,4,1,157065.0
246,81,4,1,
247,78,4,1,
248,15,4,1,
249,79,4,1,131535.0
250,94,4,1,
251,93,4,1,131535.0
252,87,4,1,
253,83,4,1,
254,18,4,1,
255,82,4,1,154845.0
256,86,4,1,150405.0
257,23,4,1,
258,17,4,1,
259,90,4,1,166500.0
260,92,4,1,
261,30,4,1,
262,25,4,1,159840.0
263,24,4,1,131535.0
264,27,4,1,
265,28,4,1,
266,19,4,1,
267,89,4,1,
268,26,4,1,
269,22,4,1,
270,95,4,1,
271,29,4,1,109335.0
272,98,4,1,47175.0
273,125,4,1,258075.0
274,104,4,1,140970.0
275,164,4,1,234765.0
276,128,4,1,183150.0
277,118,4,1,202020.0
278,119,4,1,183150.0
279,122,4,1,178155.0
280,137,4,1,225330.0
281,141,4,1,197025.0
282,143,4,1,197025.0
283,149,4,1,197025.0
284,153,4,1,220890.0
285,139,4,1,192585.0
286,140,4,1,192585.0
