company,product_name,saving_method,pre_tax_interest_rate,post_tax_interest_rate,max_preference_rate,eligibility,interest_calculation_method,inquiry_info,comparison_disclosure_date,department_contact,preferential_conditions,detailed_eligibility,application_method,post_maturity_interest_rate,other_considerations,product_link,id,institution_type
국민은행,KB 특★한 적금,자유적립식,2.0,1.69,6.0,제한없음,단리,"국민은행
(홈페이지)
15889999
(대표번호)",2024-10-21,"(예금)수신상품부(P), 02-1588-9999
(대출)개인여신부(P), 02-1588-9999","항목별 적용 조건 충족시, 최고 연 4.0%p
① 목표달성 축하 우대이율: 최고 연 1.0%p
50만원 이하: 연 0.5%p, 50만원 초과: 연 1.0%p
② 별 모으기 우대이율 : 최고 연 1.0%p
10개: 연 0.5%p, 20개: 연 1.0%p
③ 함께해요 우대이율: 최고 연 2.0%p",제한없음,스마트폰,"- 1개월 이내 : 기본이율 X 50%
- 1개월 초과  ~ 3개월 이내 : 기본이율 X 30%
- 3개월 초과 : 0.1%","개인사업자, 임의단체 및
공동명의 가입 불가
(1인 최대 3계좌)",https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001566,1,은행
전북은행,3초 플레이 적금,정액적립식,2.0,1.69,6.0,제한없음,단리,"전북은행
(홈페이지)
15884477
(대표번호)",2024-10-21,"수신추진부,
063-250-7469
여신기획부,
063-250-7370
* 실제 상담은 인근 영업점이나 당행 콜센터(1588-4477)로 문의","1. 만기 전전월까지 게임 50회 참여시 0.9%
2. 3초 플레이 적금 게임에 참여하여 획득한 점수 총 합에 따라 추가 우대금리 (연0.5% ~ 연3.0%)
3. 가입기간 내 오픈뱅킹을 통해 계좌 추가 등록/유지시 우대 0.1%
※거래실적 인정기준 세부내용은 홈페이지 참조",제한없음,스마트폰,"√만기후 1개월이내 경과분 : 만기일 현재 계약기간별 정기적금(정액적립식) 실행이율의 1/2
√만기후 1개월초과 경과분 : 연 0.1%","계약기간 6개월
월별 적립한도 5만원 이상 최고 50만원 이하 (1인 1계좌)",https://m.jbbank.co.kr/s/EMD5XP,2,은행
주식회사 카카오뱅크,카카오뱅크 26주적금,자유적립식,2.5,2.12,5.5,제한없음,단리,"주식회사 카카오뱅크
(홈페이지)
15993333
(대표번호)",2024-10-21,"수신팀 1599-3333
여신팀 1599-3333","자동이체 연속 성공 우대금리 제공 : 최고 연 3.00%p
- 제공조건
① 7주차까지 자동이체 납입을 연속 성공하고 만기해지 하는 경우 연 1.00%p 제공
② 26주차까지 자동이체 납입을 연속 성공하고 만기해지 하는 경우 연 2.00%p 추가 제공
- 유의사항 : 자동이체 실패한 주차를 빈자리채우기 하여도 성공으로 인정되지 않음",제한없음,스마트폰,"- 만기 후 1개월 이내 : 가입시점 기본금리x50%
- 만기 후 1개월초과 3개월 이내 : 가입시점 기본금리x30%
- 만기 후 3개월 초과 : 0.20%","1. 가입방법 : 스마트폰
2. 가입금액 : 1천원, 2천원, 3천원, 5천원, 1만원
3. 가입기간 : 6개월
4. 26주적금서비스(자동이체)를 통해서 납입이 가능하며, 그 외의 입금은 모두 제한됨
(단, 26주적금 서비스를 통한 납입 실패 시 빈자리 채우기로 납입 가능)",https://www.kakaobank.com/products/26weeks,3,은행
경남은행,오늘도세이브적금,자유적립식,3.45,2.92,5.2,제한없음,단리,"경남은행
(홈페이지)
16008585
(대표번호)",2024-10-21,"리테일금융부(대출문의),055-290-8743
고객기획부(예·적금상품),1600-8585","①마케팅동의 0.15%
②목돈마련 축하이율 0.30~1.00%
③친구 추천번호 0.30~0.60%",제한없음,"인터넷,스마트폰,기타","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","1. 계약기간은 1개월 이상 6개월 이내 월단위로 한다.
2. 초입금 일 1천원 이상 10만원 이하 자유롭게 저축
3. 최대 저축횟수는 999회 이내",https://m.knbank.co.kr/ib20/mnu/MBWSFM030103000?ib20_wc=MBWSFM024JNGV01M:MBWSFM024JNGV02M&ib20_cur_mnu=MBWSFM030000000&ib20_cur_wgt=MBWCMM003TMPV10M&FNC_PRD_NO=0000209247,4,은행
제주은행,jbank 저금통적금,자유적립식,2.95,2.5,5.05,제한없음,단리,"제주은행
(홈페이지)
15880079
(대표번호)",2024-10-30,"상품솔루션부, 064-720-0287","* 거래조건에 따라 최고 2.1%p 우대금리 적용
① 자투리 출금계좌 평잔 50만원 이상 유지 : 0.8%p
② 첫거래고객 or JBANK저금통적금 1개월 내 재신규 : 0.5%p
③ 신규가입 시점에서 적금 목표금액 최소 30만원 이상 설정하고, 적금 신규일로부터 3개월 내 잔액이 목표금액 이상인 경우 :0.5%p
④ 추천인 우대금리 : 0.30%p",제한없음,"인터넷,스마트폰","- 만기후 1개월 이내 : (일반)정기적금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기적금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%",월 납입한도 50만원 이하,https://www.jejubank.co.kr/hmpg/prdGdnc/sid/mndp.do?mode=detail&prdId=SID_1a87a4fc6f7341268d831b053f94d0f0,5,은행
제주은행,탐이나요적금,자유적립식,2.1,1.78,4.8,제한없음,단리,"제주은행
(홈페이지)
15880079
(대표번호)",2024-10-30,"상품솔루션부, 064-720-0287","우대요건 충족시 최고 2.7%p 추가 우대(만기시 제공)매월 JBANK로그인 시 0.2%,한 가지라도 수행시 2.5% 제공①추천인 코드로 3명 이상 가입시 ②탐나는전 체크카드 월30만원 이상 사용 유지 ③탐나는전 선불카드 충전계좌를 당행 입출금계좌로 등록 후 평잔 50만원 이상 유지 시",제한없음,"인터넷,스마트폰","- 만기후 1개월 이내 : (일반)정기적금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기적금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%",월 납입한도 100만원 이하,https://www.jejubank.co.kr/hmpg/prdGdnc/sid/mndp.do?mode=detail&prdId=SID_c729d764de1d42039f2101ee0846f733,6,은행
경남은행,BNK 위더스자유적금,자유적립식,2.25,1.9,4.75,제한없음,단리,"경남은행
(홈페이지)
16008585
(대표번호)",2024-10-21,"리테일금융부(대출문의),055-290-8743
고객기획부(예·적금상품),1600-8585","①ESG 실천 우대금리 0.50%
②신규고객 우대금리 0.50%
- 당행 1년 이내예적금(청약포함)신규해지 이력미보유
③공동가입우대금리 1.50%",제한없음,"영업점,인터넷,스마트폰,기타","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","1.계약기간은 1개월 이상 36개월 이하 월단위로 한다.
2..1인 1계좌로 가입가능
2.매월 최소 1만원 이상, 최고 월 100만원 이하 (천원 단위)",https://m.knbank.co.kr/ib20/mnu/MBWSFM030103000?ib20_wc=MBWSFM024JNGV01M:MBWSFM024JNGV02M&ib20_cur_mnu=MBWSFM030000000&ib20_cur_wgt=MBWSFM024JNGV01M&fnc_prd_no=0000202492,7,은행
중소기업은행,IBK D-day적금(자유적립식),자유적립식,3.1,2.62,4.6,제한없음,단리,"중소기업은행
(홈페이지)
15662566
(대표번호)",2024-10-21,고객 문의 1566-2566,"최고 연 1.5%p
1. 목표달성 축하금리 : 연 1.0%p
- 당행 입출금식 계좌에서 이 적금으로 자동이체를 통해 3회 이상 납입하고 만기일 전일까지 목표금액(신규 시 직접 설정) 이상 납입하는 경우
2. 최초거래고객 우대금리 : 연 0.5%p",제한없음,스마트폰,"만기일 당시 정기적금 만기후금리 적용
- 1개월 이내: 만기일 당시 약정금리x50%
- 1월 초과 6개월 이내: 만기일 당시 약정금리x30%
- 6개월 초과: 만기일 당시 약정금리x20%","1인당 3계좌 가입 가능하며, 계좌당 20만원 이내 납입 가능",http://mybank.ibk.co.kr/uib/jsp/index.jsp,8,은행
토스뱅크 주식회사,토스뱅크 굴비 적금,자유적립식,2.0,1.69,4.5,제한없음,단리,"토스뱅크 주식회사
(홈페이지)
16617654
(대표번호)",2024-10-21,"수신 02-6713-1951
여신 02-6713-1970",· 만기 해지 시 : 연 2.50% 제공,제한없음,스마트폰,"· 만기 후 1개월 이내 : 만기시점 기본금리 X 50%
· 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20%
· 만기 후 3개월 초과 : 연 0.10%","· 1인 1계좌 (단, 이벤트 등으로 토스뱅크가 복수의 계좌개설을 허용하는 경우 추가 개설 가능)
· 가입금액 : 0원
· 우대금리는 만기 해지하는 경우에만 제공됨",https://www.tossbank.com/product-service/savings/savings-gulbi,9,은행
농협은행주식회사,NH올원e 미니적금,자유적립식,2.75,2.33,4.45,제한없음,단리,"농협은행주식회사
(홈페이지)
16613000
(대표번호)",2024-11-14,"개인고객부, 02-2080-3397(개인 여신 상품), 3369(개인 수신 상품)","1. 자동이체 입금횟수 우대금리 : 최고 0.5%p
- 5회이상 : 0.2%p, 10회이상 : 0.3%p, 15회이상 0.5%p
2. 목표금액 달성 축하금리  : 0.5%p
3. MZ세대(만 19~34세)) 우대금리 : 0.5%p
4. 직전 1년간 당행 예적금(청약포함) 미보유 고객 : 0.2%p",제한없음,스마트폰,"만기후 1년 이내 : 만기시점 계약기간별 자유로우대적금 기본금리의 1/2
만기후 1년 초과 : 보통예금 금리","가입기간 1개월 이상 6개월 이하(일 단위)
초입금 및 매일 1천원이상  5만원이내(천원 단위)",https://smartmarket.nonghyup.com/content/html/sf/cn/sfgateway.html?NAVIGATE_TYPE=1&SERVICE_ID=SFSD0130R&detailPsnFncWrsC=10001236,10,은행
